date,mode,count
2024-02-16,AAR,32442
2024-02-17,AAR,17545
2024-02-18,AAR,18975
2024-02-19,AAR,17585
2024-02-20,AAR,32208
2024-02-21,AAR,33590
2024-02-22,AAR,32702
2024-02-23,AAR,30262
2024-02-24,AAR,19456
2024-02-25,AAR,19822
2024-02-26,AAR,30867
2024-02-27,AAR,33571
2024-02-28,AAR,33664
2024-02-29,AAR,33637
2024-03-01,AAR,33416
2024-03-02,AAR,19380
2024-03-03,AAR,21351
2024-03-04,AAR,32231
2024-03-05,AAR,34277
2024-03-06,AAR,35207
2024-03-07,AAR,34235
2024-03-08,AAR,34613
2024-03-09,AAR,19661
2024-03-10,AAR,20080
2024-03-11,AAR,31600
2024-03-12,AAR,34978
2024-03-13,AAR,36469
2024-03-14,AAR,36111
2024-03-15,AAR,33266
2024-03-16,AAR,20796
2024-03-17,AAR,20237
2024-03-18,AAR,31905
2024-03-19,AAR,34899
2024-03-20,AAR,35998
2024-03-21,AAR,35097
2024-03-22,AAR,33549
2024-03-23,AAR,17633
2024-03-24,AAR,22334
2024-03-25,AAR,31947
2024-03-26,AAR,34874
2024-03-27,AAR,35627
2024-03-28,AAR,34416
2024-03-29,AAR,30293
2024-03-30,AAR,19891
2024-03-31,AAR,23316
2024-04-01,AAR,30083
2024-04-02,AAR,34415
2024-04-03,AAR,34971
2024-04-04,AAR,34712
2024-04-05,AAR,34503
2024-04-06,AAR,21444
2024-04-07,AAR,21759
2024-04-08,AAR,31777
2024-04-09,AAR,36151
2024-04-10,AAR,35534
2024-04-11,AAR,35354
2024-04-12,AAR,33701
2024-04-13,AAR,21606
2024-04-14,AAR,21766
2024-04-15,AAR,32975
2024-04-16,AAR,35869
2024-04-17,AAR,35970
2024-04-18,AAR,34816
2024-04-19,AAR,33749
2024-04-20,AAR,21228
2024-04-21,AAR,20807
2024-04-22,AAR,29919
2024-04-23,AAR,31727
2024-04-24,AAR,32658
2024-04-25,AAR,32999
2024-04-26,AAR,31859
2024-04-27,AAR,20591
2024-04-28,AAR,21057
2024-04-29,AAR,30504
2024-04-30,AAR,32717
2024-05-01,AAR,35701
2024-05-02,AAR,36244
2024-05-03,AAR,34860
2024-05-04,AAR,22523
2024-05-05,AAR,20709
2024-05-06,AAR,33424
2024-05-07,AAR,36309
2024-05-08,AAR,36981
2024-05-09,AAR,35927
2024-05-10,AAR,34539
2024-05-11,AAR,22810
2024-05-12,AAR,24531
2024-05-13,AAR,31980
2024-05-14,AAR,35800
2024-05-15,AAR,36951
2024-05-16,AAR,35940
2024-05-17,AAR,34945
2024-05-18,AAR,21562
2024-05-19,AAR,22305
2024-05-20,AAR,32417
2024-05-21,AAR,35819
2024-05-22,AAR,36940
2024-05-23,AAR,34785
2024-05-24,AAR,33663
2024-05-25,AAR,20733
2024-05-26,AAR,22762
2024-05-27,AAR,12673
2024-05-28,AAR,34485
2024-05-29,AAR,36435
2024-05-30,AAR,35372
2024-05-31,AAR,35020
2024-06-01,AAR,22726
2024-06-02,AAR,22640
2024-06-03,AAR,33679
2024-06-04,AAR,36865
2024-06-05,AAR,37800
2024-06-06,AAR,35234
2024-06-07,AAR,35464
2024-06-08,AAR,23371
2024-06-09,AAR,22435
2024-06-10,AAR,32970
2024-06-11,AAR,36206
2024-06-12,AAR,36693
2024-06-13,AAR,35363
2024-06-14,AAR,34757
2024-06-15,AAR,23580
2024-06-16,AAR,24200
